symbol,horizon,horizon_h,q_long,q_short,window,test_auc,best_iter,n_trades,n_long,n_short,win_rate,avg_ret_pct,pnl_pct,sharpe
XRP/USDT,72,6.0,85,15,3,0.4458,222,21,8,13,0.4762,0.1305,2.7395,0.0738
XRP/USDT,72,6.0,80,20,3,0.4458,222,23,12,11,0.4783,0.0916,2.1062,0.06
XRP/USDT,72,6.0,90,10,4,0.5813,55,22,9,13,0.6364,0.1621,3.5667,0.1062
XRP/USDT,72,6.0,85,15,4,0.5813,55,22,8,14,0.6818,0.3874,8.5236,0.2917
XRP/USDT,72,6.0,80,20,4,0.5813,55,23,9,14,0.6087,0.2836,6.5218,0.1771
XRP/USDT,144,12.0,90,10,1,0.439,1,9,5,4,0.6667,0.2962,2.6654,0.182
XRP/USDT,144,12.0,85,15,1,0.439,1,11,8,3,0.3636,-0.0632,-0.6956,-0.0407
XRP/USDT,144,12.0,80,20,1,0.439,1,12,6,6,0.3333,0.0929,1.1144,0.0526
XRP/USDT,144,12.0,90,10,2,0.5292,2,12,6,6,0.4167,-0.5734,-6.8808,-0.2472
XRP/USDT,144,12.0,85,15,2,0.5292,2,12,7,5,0.3333,-0.9528,-11.4342,-0.4708
XRP/USDT,144,12.0,80,20,2,0.5292,2,12,6,6,0.4167,-0.8865,-10.6381,-0.4682
XRP/USDT,144,12.0,90,10,3,0.5077,3,12,8,4,0.5,-0.2756,-3.3073,-0.1528
XRP/USDT,144,12.0,85,15,3,0.5077,3,12,7,5,0.5,-0.6613,-7.936,-0.37
XRP/USDT,144,12.0,80,20,3,0.5077,3,13,11,2,0.3846,-0.2143,-2.786,-0.136
XRP/USDT,144,12.0,90,10,4,0.4569,1,11,6,5,0.4545,0.1106,1.2162,0.0502
XRP/USDT,144,12.0,85,15,4,0.4569,1,11,6,5,0.4545,-0.2155,-2.3707,-0.0971
XRP/USDT,144,12.0,80,20,4,0.4569,1,12,7,5,0.5,-0.0003,-0.004,-0.0002
XRP/USDT,288,24.0,90,10,1,0.4677,1,6,4,2,0.3333,-0.3207,-1.9242,-0.1793
XRP/USDT,288,24.0,85,15,1,0.4677,1,7,2,5,0.7143,1.8145,12.7014,1.0258
XRP/USDT,288,24.0,80,20,1,0.4677,1,7,4,3,0.5714,-0.5562,-3.8934,-0.1963
XRP/USDT,288,24.0,90,10,2,0.3652,1,6,4,2,0.1667,-1.3729,-8.2375,-0.5654
